,,,,,,,,,,,,
"Measure category",Measure_Type,Pre_Main_Heating_Source,Post_Main_Heating_Source,"Total Floor Area Band ","Starting Band","Average Treatable Factor","Cost Savings","SAP Savings",,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",0-72,High_D,0.96,499,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",0-72,Low_D,0.96,557,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",0-72,High_E,0.96,702,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",0-72,Low_E,0.96,841.3,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",0-72,High_F,0.96,1037,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",0-72,Low_F,0.96,1255.2,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",0-72,High_G,0.96,1561.5,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",0-72,Low_G,0.96,1911.7,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",73-97,High_D,0.96,488,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",73-97,Low_D,0.96,613.1,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",73-97,High_E,0.96,765.9,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",73-97,Low_E,0.96,912.7,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",73-97,High_F,0.96,1118.8,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",73-97,Low_F,0.96,1348.7,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",73-97,High_G,0.96,1671.3,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",73-97,Low_G,0.96,2040.2,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",98-199,High_D,0.96,579.5,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",98-199,Low_D,0.96,718.9,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",98-199,High_E,0.96,889,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",98-199,Low_E,0.96,1052.4,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",98-199,High_F,0.96,1281.9,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",98-199,Low_F,0.96,1537.9,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",98-199,High_G,0.96,1897.2,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",98-199,Low_G,0.96,2308,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",200+,High_D,0.96,1124.1,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",200+,Low_D,0.96,1362.6,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",200+,High_E,0.96,1659.7,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",200+,Low_E,0.96,1945.1,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",200+,High_F,0.96,2345.9,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",200+,Low_F,0.96,2793,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",200+,High_G,0.96,3420.5,N/A,,,,
Boiler,B_First_Time_CH,"Bottled LPG Room Heaters","Fuel Cell mCHP",200+,Low_G,0.96,4138,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",0-72,High_D,0.96,425.1,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",0-72,Low_D,0.96,541.1,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",0-72,High_E,0.96,682.7,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",0-72,Low_E,0.96,818.8,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",0-72,High_F,0.96,1009.9,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",0-72,Low_F,0.96,1223,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",0-72,High_G,0.96,1522.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",0-72,Low_G,0.96,1864.3,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",73-97,High_D,0.96,468.1,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",73-97,Low_D,0.96,589.1,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",73-97,High_E,0.96,736.8,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",73-97,Low_E,0.96,878.7,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",73-97,High_F,0.96,1078,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",73-97,Low_F,0.96,1300.3,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",73-97,High_G,0.96,1612.3,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",73-97,Low_G,0.96,1969.1,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",98-199,High_D,0.96,548.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",98-199,Low_D,0.96,681.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",98-199,High_E,0.96,843.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",98-199,Low_E,0.96,999.4,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",98-199,High_F,0.96,1218.4,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",98-199,Low_F,0.96,1462.7,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",98-199,High_G,0.96,1805.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",98-199,Low_G,0.96,2197.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",200+,High_D,0.96,1057.9,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",200+,Low_D,0.96,1283.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",200+,High_E,0.96,1564.6,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",200+,Low_E,0.96,1834.6,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",200+,High_F,0.96,2213.8,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",200+,Low_F,0.96,2636.8,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",200+,High_G,0.96,3230.4,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Bottled LPG Boiler","Fuel Cell mCHP",200+,Low_G,0.96,3909.3,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",0-72,High_D,0.96,387.9,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",0-72,Low_D,0.96,496.1,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",0-72,High_E,0.96,628.3,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",0-72,Low_E,0.96,755.2,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",0-72,High_F,0.96,933.4,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",0-72,Low_F,0.96,1132.2,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",0-72,High_G,0.96,1411.2,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",0-72,Low_G,0.96,1730.3,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",73-97,High_D,0.96,411.8,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",73-97,Low_D,0.96,521.2,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",73-97,High_E,0.96,654.7,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",73-97,Low_E,0.96,782.9,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",73-97,High_F,0.96,963,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",73-97,Low_F,0.96,1163.8,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",73-97,High_G,0.96,1445.7,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",73-97,Low_G,0.96,1768.1,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",98-199,High_D,0.96,459.8,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",98-199,Low_D,0.96,574.7,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",98-199,High_E,0.96,715,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",98-199,Low_E,0.96,849.7,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",98-199,High_F,0.96,1039,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",98-199,Low_F,0.96,1250.1,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",98-199,High_G,0.96,1546.4,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",98-199,Low_G,0.96,1885.2,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",200+,High_D,0.96,870.8,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",200+,Low_D,0.96,1060.1,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",200+,High_E,0.96,1295.9,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",200+,Low_E,0.96,1522.4,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",200+,High_F,0.96,1840.6,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",200+,Low_F,0.96,2195.4,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",200+,High_G,0.96,2693.5,N/A,,,,
Boiler,B_First_Time_CH,"Solid Fossil Room Heaters","Fuel Cell mCHP",200+,Low_G,0.96,3263,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",0-72,High_D,0.96,370.4,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",0-72,Low_D,0.96,474.9,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",0-72,High_E,0.96,602.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",0-72,Low_E,0.96,725,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",0-72,High_F,0.96,897.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",0-72,Low_F,0.96,1089.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",0-72,High_G,0.96,1358.7,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",0-72,Low_G,0.96,1666.9,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,High_D,0.96,385.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,Low_D,0.96,489.1,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,High_E,0.96,615.8,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,Low_E,0.96,737.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,High_F,0.96,908.5,N/A,,,,
