,,,,,,
"Measure category",Measure_Type,Pre_Main_Heating_Source,"Total Floor Area Band ","Starting Band","Average Treatable Factor","Cost Savings"
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,High_B,0.95,59.8
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,Low_B,0.95,60.1
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,High_C,0.95,61.2
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,Low_C,0.95,62.5
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,High_D,0.95,64.9
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,Low_D,0.95,67.8
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,High_E,0.95,72.1
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,Low_E,0.95,77.1
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,High_F,0.95,84.2
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,Low_F,0.95,91.9
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,High_G,0.95,102.4
"Cavity Wall Insulation",CWI_0.040,N/A,0-72,Low_G,0.95,113.7
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,High_B,0.95,63.8
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,Low_B,0.95,64.3
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,High_C,0.95,65.3
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,Low_C,0.95,66.8
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,High_D,0.95,69.3
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,Low_D,0.95,72.4
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,High_E,0.95,77.1
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,Low_E,0.95,82.4
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,High_F,0.95,90
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,Low_F,0.95,98.3
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,High_G,0.95,109.5
"Cavity Wall Insulation",CWI_0.033,N/A,0-72,Low_G,0.95,121.7
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,High_B,0.95,67.7
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,Low_B,0.95,68.2
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,High_C,0.95,69.3
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,Low_C,0.95,70.8
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,High_D,0.95,73.5
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,Low_D,0.95,76.8
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,High_E,0.95,81.8
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,Low_E,0.95,87.4
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,High_F,0.95,95.4
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,Low_F,0.95,104.3
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,High_G,0.95,116.3
"Cavity Wall Insulation",CWI_0.027,N/A,0-72,Low_G,0.95,129.2
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,High_B,0.95,17.7
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,Low_B,0.95,17.6
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,High_C,0.95,17.6
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,Low_C,0.95,17.8
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,High_D,0.95,18.1
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,Low_D,0.95,18.6
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,High_E,0.95,19.4
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,Low_E,0.95,20.3
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,High_F,0.95,21.8
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,Low_F,0.95,23.4
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,High_G,0.95,25.6
"Cavity Wall Insulation",PWI_Cavity,N/A,0-72,Low_G,0.95,28.1
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,High_B,0.95,12.4
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,Low_B,0.95,12.4
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,High_C,0.95,12.6
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,Low_C,0.95,12.9
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,High_D,0.95,13.4
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,Low_D,0.95,14
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,High_E,0.95,14.9
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,Low_E,0.95,15.9
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,High_F,0.95,17.4
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,Low_F,0.95,19.1
"Cavity Wall Insulation",CWI_partial_fill,N/A,0-72,High_G,0.95,21.3
